allocSize,allocFrequency,reallocCount,grewByRealloc,activeAllocations,largestAllocation,totalAllocatedBytes,totalFreedBytes,fragmentationPercent,label
196,15,4,1,7,498,5653,5450,0.05,NORMAL
186,13,2,0,1,920,3035,2840,29.28,CACHE_LEAK
117,3,9,1,2,650,8370,4672,6.58,NORMAL
42,4,0,1,17,776,9008,6883,42.33,NORMAL
511,10,2,1,15,537,5609,3490,33.77,CACHE_LEAK
219,9,4,1,15,1000,5121,1278,62.37,CACHE_LEAK
297,14,5,0,11,743,733,445,74.75,CACHE_LEAK
54,9,7,0,14,993,6098,165,78.45,CACHE_LEAK
337,12,5,0,5,666,6567,1356,51.61,CACHE_LEAK
151,5,1,0,4,761,7381,2064,72.21,FRAGMENTED
435,4,8,0,20,466,7139,6646,37.6,NORMAL
68,3,3,1,18,853,3155,474,69.03,FRAGMENTED
200,5,9,0,4,573,7516,6893,59.19,NORMAL
178,15,7,0,15,578,7753,1157,50.59,CACHE_LEAK
356,1,6,0,13,817,6288,2460,17.86,NORMAL
287,14,0,1,13,1010,2227,1635,16.22,NORMAL
333,14,0,0,15,517,7973,2032,47.44,CACHE_LEAK
423,15,10,0,20,947,866,325,9.5,NORMAL
265,11,7,0,5,981,1679,979,38.27,CACHE_LEAK
97,3,10,1,16,117,6851,6347,26.17,NORMAL
197,1,8,0,7,408,8895,6053,27.79,NORMAL
58,8,3,0,5,761,8788,4740,76.24,FRAGMENTED
290,8,10,0,15,800,2587,696,55.62,NORMAL
89,1,7,0,19,868,2273,903,57.66,NORMAL
312,13,2,1,6,843,9287,8422,89.47,CACHE_LEAK
222,3,6,1,13,402,6846,3254,93.88,GROWING_LEAK
352,4,4,1,4,1006,9118,6111,28.87,NORMAL
109,3,6,1,11,624,9569,3050,63.46,GROWING_LEAK
67,3,2,0,5,199,8599,2840,97.17,FRAGMENTED
322,10,5,0,10,418,419,245,90.97,CACHE_LEAK
255,5,9,1,18,501,9561,6320,57.47,GROWING_LEAK
261,8,9,1,2,907,4612,1112,59.64,GROWING_LEAK
358,4,6,1,9,793,5574,1189,93.08,GROWING_LEAK
245,1,5,1,6,940,4953,1755,1.06,NORMAL
455,14,8,1,1,952,7256,5729,78.26,GROWING_LEAK
149,6,2,1,15,992,8722,4887,16.21,NORMAL
368,2,0,1,17,771,8298,1784,47.5,NORMAL
106,7,8,1,11,705,4315,2778,31.5,NORMAL
214,2,3,0,3,565,7478,5232,89.84,FRAGMENTED
440,3,6,1,6,741,8192,2892,10.27,NORMAL
122,13,9,1,12,821,1765,1036,73.69,GROWING_LEAK
506,14,7,1,19,1009,4434,1914,34.42,CACHE_LEAK
265,3,0,1,10,850,2281,1400,64.04,FRAGMENTED
336,15,4,1,5,816,1826,854,39.05,CACHE_LEAK
297,7,9,1,18,320,1327,1126,25.18,NORMAL
406,10,8,0,11,804,5552,2960,7.73,NORMAL
333,15,5,0,3,419,8907,598,32.55,CACHE_LEAK
429,9,8,1,5,812,4986,1753,81.62,GROWING_LEAK
316,2,1,0,7,420,3609,3436,35.65,NORMAL
141,13,1,1,1,1023,7520,1830,68.69,CACHE_LEAK
502,4,6,1,10,913,9942,750,66.21,GROWING_LEAK
467,7,3,0,12,552,7542,6332,70.11,FRAGMENTED
30,7,9,0,13,875,2010,548,7.17,NORMAL
320,5,2,0,15,965,8813,4610,74.09,FRAGMENTED
301,5,9,0,1,377,4199,1897,27.23,NORMAL
382,8,3,1,16,815,3420,732,40.79,NORMAL
98,12,2,1,4,980,4190,1791,25.54,CACHE_LEAK
372,15,10,0,1,805,3364,645,92.05,CACHE_LEAK
96,10,1,1,20,377,7049,5823,62.18,CACHE_LEAK
224,15,4,1,20,918,4835,4671,42.67,CACHE_LEAK
234,14,0,1,11,582,9177,924,9.26,NORMAL
419,1,4,1,13,505,2497,2041,16.39,NORMAL
337,15,9,1,14,651,4777,2637,76.8,GROWING_LEAK
338,4,3,1,14,459,2976,1413,97.17,FRAGMENTED
20,14,10,1,4,778,9012,1115,27.31,CACHE_LEAK
477,3,6,1,17,772,2044,1967,45.98,GROWING_LEAK
259,1,9,0,4,378,1249,366,48.35,NORMAL
141,1,7,1,4,538,5246,3372,50.83,GROWING_LEAK
264,1,9,1,20,588,6144,541,90.15,GROWING_LEAK
136,1,10,1,19,159,2199,1443,24.3,NORMAL
495,13,10,0,4,842,621,242,12.59,NORMAL
322,2,1,0,9,915,2305,929,62.13,FRAGMENTED
24,12,5,1,5,468,9223,4576,39.97,CACHE_LEAK
400,5,3,0,17,1009,4081,2296,77.03,FRAGMENTED
315,8,8,1,7,490,3488,166,97.19,GROWING_LEAK
374,11,4,0,3,746,7765,1648,84.64,CACHE_LEAK
102,13,6,1,4,171,2104,565,87.59,GROWING_LEAK
339,9,2,1,18,1002,3787,844,47.94,CACHE_LEAK
160,8,4,0,9,449,6865,55,36.27,NORMAL
284,4,5,1,2,806,4201,1287,89.16,FRAGMENTED
113,3,9,1,18,373,8014,5223,93.64,GROWING_LEAK
18,11,5,0,9,280,2452,1854,38.13,CACHE_LEAK
103,11,8,1,10,492,2716,151,14.93,NORMAL
468,7,2,1,16,832,6006,2212,74.33,FRAGMENTED
483,6,0,1,5,822,6848,4776,69.06,FRAGMENTED
284,7,9,0,1,621,4070,873,95.43,FRAGMENTED
223,3,3,1,7,762,5777,5537,45.07,NORMAL
48,4,2,0,19,480,678,283,98.39,FRAGMENTED
188,4,0,0,9,890,4385,178,61.29,FRAGMENTED
96,8,5,0,4,450,9391,109,56.96,NORMAL
138,14,4,0,18,536,5839,844,98.77,CACHE_LEAK
462,3,2,1,15,469,557,81,0.23,NORMAL
253,5,4,0,7,965,8391,5916,42.09,NORMAL
181,10,0,1,17,697,4226,849,75.67,CACHE_LEAK
297,13,7,1,1,866,6785,6102,46.83,GROWING_LEAK
303,10,10,0,13,617,4998,2460,30.73,CACHE_LEAK
110,4,5,0,18,997,7341,3081,39.03,NORMAL
485,1,1,1,2,862,5103,1702,51.57,NORMAL
105,14,1,1,2,230,4792,60,99.02,CACHE_LEAK
258,14,3,0,14,296,822,669,22.89,NORMAL
350,11,6,1,4,950,6742,3612,71.79,GROWING_LEAK
378,8,9,1,5,1010,9777,8621,17.71,NORMAL
417,8,2,1,14,657,7633,2830,15.32,NORMAL
205,14,2,0,13,1004,1177,133,98.05,CACHE_LEAK
463,13,0,1,14,543,3854,276,4.52,NORMAL
47,6,4,0,5,552,7246,1709,22.54,NORMAL
315,11,6,0,9,623,1362,1251,22.76,NORMAL
22,10,4,1,10,654,1862,614,15.13,NORMAL
114,3,3,0,1,362,5648,4702,13.23,NORMAL
144,6,6,0,5,266,4688,4124,63.96,FRAGMENTED
359,13,8,0,5,679,9991,4506,77.44,CACHE_LEAK
297,6,8,1,16,1012,5017,3940,62.83,GROWING_LEAK
223,8,7,0,10,627,1769,1607,40.98,NORMAL
481,1,10,1,5,956,2698,1915,80.35,GROWING_LEAK
182,8,0,1,4,416,8046,7745,59.26,NORMAL
58,6,0,1,20,349,7191,5461,81.34,FRAGMENTED
347,11,9,0,11,387,931,116,5.35,NORMAL
87,3,3,0,16,737,9947,2743,28.37,NORMAL
351,3,0,0,12,894,5185,1065,15.94,NORMAL
377,2,3,0,19,486,1090,347,20.32,NORMAL
183,10,9,1,18,865,7454,4825,11.21,NORMAL
254,4,8,0,6,286,8627,5763,9.41,NORMAL
398,12,0,0,8,672,5137,730,0.82,NORMAL
319,10,8,0,7,459,2394,1580,50.51,CACHE_LEAK
486,12,7,0,10,888,2442,1190,84.37,CACHE_LEAK
384,3,7,0,8,502,5949,4134,54.27,NORMAL
329,14,3,0,12,734,8858,4971,91.53,CACHE_LEAK
256,14,1,1,8,959,5477,1034,69.85,CACHE_LEAK
465,8,8,0,18,567,7737,5449,42.59,NORMAL
71,8,3,1,3,628,905,160,34.15,NORMAL
338,8,6,0,2,1016,9879,6694,15.05,NORMAL
109,9,8,1,4,412,4892,2918,22.26,NORMAL
40,10,0,1,14,985,7624,6064,0.86,NORMAL
32,13,2,1,2,103,3658,2205,30.8,CACHE_LEAK
212,5,0,1,5,607,9005,5527,52.59,NORMAL
310,14,3,1,4,470,9814,2229,18.41,NORMAL
34,1,5,0,2,230,5122,3984,89.38,FRAGMENTED
142,14,9,0,17,793,1733,476,13.24,NORMAL
221,2,8,0,15,394,7288,2851,92.99,FRAGMENTED
436,14,1,1,17,507,5552,3627,67.12,CACHE_LEAK
297,5,3,0,4,464,9953,7134,24.77,NORMAL
417,13,2,0,14,933,6060,3748,26.82,CACHE_LEAK
400,4,6,1,14,955,4885,3515,99.09,GROWING_LEAK
309,10,7,1,1,640,3337,2600,28.96,CACHE_LEAK
304,9,3,1,6,752,4086,200,87.91,CACHE_LEAK
179,15,1,1,6,547,6079,1060,29.27,CACHE_LEAK
390,9,7,1,4,734,8700,2625,35.35,CACHE_LEAK
220,9,10,1,8,295,736,597,24.29,NORMAL
342,3,10,1,2,627,4565,2285,17.93,NORMAL
112,3,8,1,12,483,7347,1915,57.43,GROWING_LEAK
370,15,4,0,11,464,5728,1849,74.34,CACHE_LEAK
368,11,4,0,11,815,3095,1743,93.57,CACHE_LEAK
315,8,3,1,20,998,5497,3304,1.56,NORMAL
54,12,1,1,13,546,4005,2395,87.17,CACHE_LEAK
201,14,9,1,14,701,2404,1178,90.33,GROWING_LEAK
379,1,3,1,15,666,9066,8186,19.81,NORMAL
17,13,4,1,12,362,1983,1359,53.54,CACHE_LEAK
449,12,7,1,13,503,1196,976,0.2,NORMAL
392,15,6,0,13,1010,6898,87,50.27,CACHE_LEAK
446,4,1,1,18,544,2427,154,25.93,NORMAL
313,7,8,1,20,652,4036,1929,85.77,GROWING_LEAK
16,2,0,1,1,587,3669,79,80.84,FRAGMENTED
359,3,2,1,5,650,9139,7992,92.59,FRAGMENTED
352,5,10,0,3,831,3633,1334,26.52,NORMAL
469,12,7,0,9,807,3993,540,59.47,CACHE_LEAK
401,8,6,0,16,717,6776,10,8.9,NORMAL
294,15,9,0,4,395,4649,2282,90.54,CACHE_LEAK
61,14,9,1,2,455,7397,3568,65.86,GROWING_LEAK
335,15,3,1,10,348,5697,5413,63.99,CACHE_LEAK
72,6,7,1,1,922,7143,6189,46.75,GROWING_LEAK
120,12,6,1,11,334,3721,3629,48.45,GROWING_LEAK
239,13,6,0,20,422,4344,2588,45.47,CACHE_LEAK
337,14,9,1,18,914,8425,7851,89.42,GROWING_LEAK
309,4,4,1,11,545,547,214,82.14,FRAGMENTED
307,7,0,0,11,782,5963,498,55.24,NORMAL
41,8,6,0,8,933,9316,9216,40.06,NORMAL
408,8,9,0,8,430,1148,525,51.87,NORMAL
324,14,0,1,11,468,5646,4340,72.09,CACHE_LEAK
458,8,8,1,4,723,862,411,86.63,GROWING_LEAK
239,8,6,0,20,450,6333,4559,28.34,NORMAL
403,9,6,0,5,900,8436,3377,47.23,CACHE_LEAK
210,7,4,0,15,493,8862,931,50.06,NORMAL
480,9,1,0,8,651,8515,7457,84.78,CACHE_LEAK
261,10,3,1,20,884,1651,1172,60.3,CACHE_LEAK
279,9,6,1,7,371,1076,706,10.64,NORMAL
228,15,2,1,5,370,8573,2327,47.84,CACHE_LEAK
225,8,2,1,13,403,4075,2276,31.29,NORMAL
385,6,8,1,16,655,7415,5484,5.86,NORMAL
85,5,10,1,13,838,1882,153,81.5,GROWING_LEAK
12,7,2,1,11,116,523,448,26.2,NORMAL
115,7,6,0,15,208,7383,5896,20.9,NORMAL
272,2,5,0,13,406,3746,3121,35.61,NORMAL
318,7,9,1,19,862,1577,234,81.42,GROWING_LEAK
196,10,8,1,19,610,7180,6630,1.39,NORMAL
137,14,5,1,9,285,9535,2611,40.61,CACHE_LEAK
290,12,7,0,13,462,7838,469,2.26,NORMAL
130,11,0,1,20,166,6476,3671,22.66,NORMAL
224,6,2,0,19,789,7809,1465,73.7,FRAGMENTED
493,14,9,0,14,568,1383,668,7.08,NORMAL
152,7,5,1,20,864,6571,6386,28.57,NORMAL
14,1,2,1,11,904,2412,676,70.15,FRAGMENTED
79,9,8,1,14,989,7506,5996,67.29,GROWING_LEAK
438,7,1,0,17,777,1647,924,88.88,FRAGMENTED
286,3,5,0,1,428,5927,1928,11.83,NORMAL
64,10,7,1,9,529,3701,847,13.48,NORMAL
497,9,8,1,3,927,8338,6500,18.48,NORMAL
374,2,0,0,1,644,5972,751,25.44,NORMAL
222,12,5,0,15,949,3803,371,29.49,CACHE_LEAK
81,7,4,1,18,480,8092,6456,42.84,NORMAL
145,2,6,0,11,269,9740,4997,59.13,NORMAL
506,2,10,0,12,895,6302,6219,46.88,NORMAL
487,6,10,0,12,913,9732,3332,84.42,FRAGMENTED
508,6,6,1,20,581,7777,7334,9.35,NORMAL
55,14,7,0,3,125,6717,4777,66.31,CACHE_LEAK
181,14,5,1,17,879,734,497,8.73,NORMAL
222,12,2,1,3,903,9806,6779,74.04,CACHE_LEAK
283,8,4,1,6,865,5929,5105,70.84,FRAGMENTED
28,6,10,0,3,971,2243,1947,87.21,FRAGMENTED
384,6,7,1,8,946,2803,1079,53.97,GROWING_LEAK
185,4,5,0,10,847,3586,1776,44.22,NORMAL
210,1,1,1,7,905,5453,3411,52.77,NORMAL
433,11,0,0,2,991,2411,2182,55.17,CACHE_LEAK
328,15,8,1,17,359,2258,263,2.96,NORMAL
48,1,8,0,17,503,7971,5446,78.7,FRAGMENTED
463,13,8,1,4,969,1518,1314,70.45,GROWING_LEAK
510,15,3,0,20,804,2033,1768,43.71,CACHE_LEAK
126,6,5,0,9,512,5673,2544,81.84,FRAGMENTED
332,11,4,0,8,994,1159,764,11.48,NORMAL
82,13,10,1,12,375,506,134,90.23,GROWING_LEAK
293,3,8,0,6,789,6739,2017,42.75,NORMAL
119,2,10,0,11,928,732,416,35.85,NORMAL
273,11,1,0,6,986,1700,1607,62.45,CACHE_LEAK
465,10,5,1,17,700,2666,2569,29.31,CACHE_LEAK
364,15,9,0,3,953,6804,5881,40.65,CACHE_LEAK
134,14,0,0,16,804,2715,821,67.81,CACHE_LEAK
434,7,8,0,16,441,7012,1639,18.15,NORMAL
185,6,7,1,10,831,8182,802,54.55,GROWING_LEAK
404,10,9,0,19,705,1068,599,59.84,CACHE_LEAK
225,7,6,1,14,449,2313,755,94.57,GROWING_LEAK
273,14,0,1,17,392,9070,606,23.7,NORMAL
212,2,10,1,8,345,2049,1659,24.67,NORMAL
488,3,9,0,17,737,1363,1254,64.67,FRAGMENTED
316,9,6,1,5,477,4372,279,45.65,GROWING_LEAK
394,7,7,1,2,616,4691,1055,33.88,NORMAL
319,3,5,1,17,809,5102,3917,25.94,NORMAL
15,10,3,0,16,980,2628,1241,37.38,CACHE_LEAK
141,7,0,0,19,606,6976,3009,18.31,NORMAL
126,14,5,0,5,388,1606,504,43.61,CACHE_LEAK
229,4,8,0,1,552,4730,4174,14.63,NORMAL
372,5,8,0,2,505,1880,267,75.39,FRAGMENTED
21,4,5,0,11,449,8697,5617,81.77,FRAGMENTED
202,13,10,0,12,653,4215,53,49.64,CACHE_LEAK
376,6,4,1,3,377,3966,2592,8.6,NORMAL
32,5,8,0,18,753,5986,3625,57.81,NORMAL
57,12,1,1,9,405,6498,2584,27.01,CACHE_LEAK
444,7,5,1,12,714,5029,4462,61.17,FRAGMENTED
218,15,6,1,17,494,4467,234,66.66,GROWING_LEAK
64,14,5,0,17,553,6497,85,65.81,CACHE_LEAK
384,1,10,0,17,697,2349,372,43.36,NORMAL
147,1,5,0,10,174,5312,3495,50.67,NORMAL
474,5,5,0,19,767,9448,1513,30.74,NORMAL
256,1,10,0,3,369,620,406,80.79,FRAGMENTED
367,13,5,0,17,553,8878,4685,66.05,CACHE_LEAK
509,11,10,1,11,539,8117,2346,29.93,CACHE_LEAK
114,13,7,0,15,433,9652,1221,41.47,CACHE_LEAK
22,10,1,0,7,56,2564,1853,26.48,CACHE_LEAK
306,14,10,1,17,468,9077,7416,6.97,NORMAL
506,1,8,1,20,942,3716,2328,15.92,NORMAL
459,4,4,0,8,574,2725,2175,16.74,NORMAL
391,10,3,1,5,704,2658,132,26.55,CACHE_LEAK
328,14,2,0,16,984,9556,5408,41.64,CACHE_LEAK
333,12,2,1,17,805,8389,6379,77.36,CACHE_LEAK
47,2,0,1,6,654,3167,2009,21.62,NORMAL
44,7,7,1,11,555,3994,1211,57.49,GROWING_LEAK
124,10,1,0,5,848,6621,1248,58.84,CACHE_LEAK
411,13,10,1,2,841,3736,2090,15.52,NORMAL
498,13,9,1,20,857,5768,101,11.8,NORMAL
240,14,7,0,1,757,4466,1665,0.77,NORMAL
296,4,6,1,14,921,2683,1237,26.39,NORMAL
95,15,6,0,9,222,7155,1456,20.91,NORMAL
491,11,1,0,3,567,4431,2420,38.49,CACHE_LEAK
115,1,1,1,15,540,2148,279,96.43,FRAGMENTED
292,4,2,0,5,753,9329,4763,43.78,NORMAL
57,2,4,1,9,985,9781,7102,58.71,NORMAL
132,13,2,1,14,959,1705,773,65.75,CACHE_LEAK
297,2,9,1,16,796,5402,5084,60.73,GROWING_LEAK
378,1,4,1,17,917,4965,1227,36.58,NORMAL
77,4,5,1,15,286,6606,5642,89.41,FRAGMENTED
41,11,7,1,16,883,3846,1400,67.07,GROWING_LEAK
246,15,5,0,20,273,983,40,35.9,CACHE_LEAK
183,3,2,1,13,441,851,181,27.09,NORMAL
53,2,6,0,6,906,4917,1986,12.02,NORMAL
235,4,1,1,9,370,8718,7276,79.02,FRAGMENTED
275,4,5,0,8,362,808,800,18.24,NORMAL
279,1,4,0,16,642,4433,3872,29.36,NORMAL
332,9,5,0,12,567,2975,1186,14.92,NORMAL
456,11,8,1,15,566,7098,5115,1.75,NORMAL
379,9,9,1,19,617,6334,5473,40.03,GROWING_LEAK
228,15,2,0,12,358,4611,1032,74.88,CACHE_LEAK
253,1,9,1,18,528,6181,2771,0.43,NORMAL
381,15,9,0,17,434,1520,315,21.26,NORMAL
249,8,6,1,4,426,9543,8831,81.21,GROWING_LEAK
128,7,3,0,17,785,9999,9272,84.62,FRAGMENTED
36,11,8,0,18,349,543,339,52.29,CACHE_LEAK
355,11,10,0,10,560,6384,3916,7.9,NORMAL
221,2,4,0,10,965,7118,6862,37.1,NORMAL
452,14,10,0,3,490,919,401,35.15,CACHE_LEAK
492,9,2,1,12,815,3111,2959,21.82,NORMAL
392,12,2,0,6,392,562,286,61.13,CACHE_LEAK
29,5,2,1,4,678,374,112,15.17,NORMAL
274,7,2,1,12,358,8316,222,89.48,FRAGMENTED
77,10,9,1,7,364,3332,2667,44.46,GROWING_LEAK
65,1,1,1,20,160,882,721,64.61,FRAGMENTED
405,8,3,1,8,458,3445,895,83.0,FRAGMENTED
236,1,1,1,7,274,7322,1984,73.37,FRAGMENTED
220,14,8,1,12,623,9681,4358,61.94,GROWING_LEAK
432,8,3,0,12,775,3062,2657,53.33,NORMAL
359,5,4,1,8,1017,5807,2276,72.81,FRAGMENTED
306,9,4,0,3,381,5537,2353,74.28,CACHE_LEAK
293,8,8,1,4,817,2068,1518,4.08,NORMAL
97,7,5,1,6,480,3772,1566,82.39,FRAGMENTED
449,4,1,1,6,991,5640,4173,4.96,NORMAL
248,9,1,0,17,788,2702,605,21.43,NORMAL
225,12,2,1,4,452,3974,1327,47.76,CACHE_LEAK
453,15,4,1,18,949,5870,1462,14.52,NORMAL
248,9,1,1,4,714,8091,613,10.52,NORMAL
486,4,3,0,15,902,793,139,73.47,FRAGMENTED
150,9,9,0,19,665,1398,1209,93.95,CACHE_LEAK
203,8,6,1,1,722,1175,523,5.49,NORMAL
93,10,1,1,19,114,3933,1911,67.01,CACHE_LEAK
271,10,2,0,14,455,5688,3198,65.7,CACHE_LEAK
452,10,3,1,14,666,7933,1183,77.68,CACHE_LEAK
289,5,9,0,6,964,4998,4534,49.37,NORMAL
27,10,3,0,20,500,1577,1098,91.07,CACHE_LEAK
310,5,9,0,5,563,9825,5323,78.53,FRAGMENTED
185,4,9,1,11,743,9634,9606,0.19,NORMAL
312,5,7,1,13,861,8607,2240,75.43,GROWING_LEAK
338,6,1,0,9,690,9970,308,2.47,NORMAL
100,7,7,1,10,222,8685,5282,99.99,GROWING_LEAK
390,5,5,0,18,797,5984,1394,66.1,FRAGMENTED
183,13,2,1,1,900,8535,7229,23.4,NORMAL
455,5,8,0,6,685,1415,960,81.83,FRAGMENTED
273,3,8,1,17,593,845,451,53.48,GROWING_LEAK
331,8,3,1,10,664,3620,1318,36.52,NORMAL
273,2,6,1,4,684,5070,2898,26.6,NORMAL
142,12,1,1,18,154,7227,3492,54.8,CACHE_LEAK
62,3,3,1,16,793,2963,251,6.33,NORMAL
250,10,2,0,13,451,8557,8221,65.67,CACHE_LEAK
321,11,6,1,6,421,8861,1230,2.93,NORMAL
422,5,1,1,2,646,5157,1571,91.83,FRAGMENTED
120,9,2,1,6,822,3447,1494,48.62,CACHE_LEAK
243,5,6,1,16,312,3516,1811,91.13,GROWING_LEAK
150,2,5,1,14,598,8832,6832,35.36,NORMAL
73,3,1,0,9,651,9273,803,20.11,NORMAL
235,3,7,0,9,897,341,47,74.13,FRAGMENTED
489,2,2,1,11,877,7156,2650,81.72,FRAGMENTED
336,11,1,0,3,399,1880,1755,1.93,NORMAL
28,1,7,0,3,726,2420,455,62.0,FRAGMENTED
294,14,1,0,16,749,7635,3129,76.99,CACHE_LEAK
318,12,10,0,19,968,7348,77,10.48,NORMAL
369,7,9,1,20,942,6802,6617,54.46,GROWING_LEAK
457,13,0,0,6,503,6768,59,94.9,CACHE_LEAK
278,2,10,0,10,796,1437,117,74.47,FRAGMENTED
